Name,Country,Position,Born
Beniamino Abate,Italy,Goalkeeper,10/04/1962
Niky Agnorelli,Italy,Midfielder,14/05/1986
Angelo Aimo,Italy,Midfielder,17/11/1964
Franklyn Akammadu,Nigeria,Forward,11/08/1998
Ghislain Akassou,Ivory Coast,Defender,15/02/1975
Alberto Aladje,Portugal,Forward,22/10/1993
Fabrizio Alastra,Italy,Goalkeeper,01/10/1997
Andrea Alberti,Italy,Forward,15/01/1985
Marcello Albino,Italy,Midfielder,07/10/1971
Gabriele Aldegani,Italy,Goalkeeper,10/05/1976
Marco Ambrogioni,Italy,Defender,29/10/1974
Marco Ambrosio,Italy,Goalkeeper,30/05/1973
Patrick Amrane,France,Midfielder,25/12/1973
Luca Antonini,Italy,Midfielder,04/08/1982
Liam ArdigÃ²,Italy,Goalkeeper,05/01/1976
Alessandro Armenise,Italy,Defender,23/10/1984
Marco Arno,Italy,Defender,15/01/1975
Ivan Artipoli,Italy,Defender,24/03/1986
Claudio Azzali,Italy,Defender,08/12/1937
Andrea Badan,Italy,Defender,21/03/1998
Fabrizio Bagheria,Italy,Goalkeeper,05/04/2001
Andrea Bagnai,Italy,Defender,02/04/1992
Andrea Bandini,Italy,Defender,16/02/1994
Lorenzo Bardini,Italy,Goalkeeper,12/04/1996
Dario Baruffi,Italy,Forward,07/01/1938
Pasquale Basilico,Italy,Forward,29/10/1985
Gianluca Bassano,Italy,Defender,05/01/1999
Simone Basso,Italy,Forward,25/07/1982
Franco Battisodo,Italy,Defender,15/04/1948
Andrea Beduschi,Italy,Defender,25/02/1992
Matteo Bellesi,Italy,Goalkeeper,
Andrea Bellini,Italy,Defender,24/05/1966
Lorenzo Benedetti,Italy,Forward,24/06/1992
Nicola Benedetti,Italy,Forward,06/12/1993
Massimiliano Benfari,Italy,Forward,09/01/1969
Alex Bengala,Cameroon,Midfielder,27/06/1998
Giorgio Benini,Italy,Defender,04/06/1962
Lorenzo Benucci,Italy,Defender,22/11/1996
Alberto Bernardi,Italy,Forward,15/06/1977
Gianluca Berti,Italy,Goalkeeper,20/05/1967
Mario Bertini,Italy,Midfielder,07/01/1944
Fabio Bertoli,Italy,Midfielder,20/08/1996
Carlo Biagi,Italy,Defender,20/04/1914
Davide Bianchi,Italy,Defender,20/04/1987
Roberto Biffi,Italy,Defender,21/08/1965
Dimitri Bisoli,Italy,Defender,25/03/1994
Riccardo Bocalon,Italy,Forward,03/03/1989
Fabrizio Boccafogli,Italy,Goalkeeper,14/10/1967
Matteo Bonatti,Italy,Defender,24/03/1981
Mattia Bonetto,Italy,Midfielder,23/01/1997
Filippo Boni,Italy,Defender,29/06/1995
Roberto Boninsegna,Italy,Forward,13/11/1943
Simone Bonomi,Italy,Defender,08/11/1980
Edoardo Borgioli,Italy,Defender,
